time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.ID_0,.x0,.y0,.z0,.ID_1,.x1,.y1,.z1,.ID_2,.x2,.y2,.z2,.ID_3,.x3,.y3,.z3,.ID_4,.x4,.y4,.z4,.ID_5,.x5,.y5,.z5,.ID_6,.x6,.y6,.z6,.ID_7,.x7,.y7,.z7
2022/02/26/23:59:31.342654,5746,1645937971,342103004,,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,4,0.127110466361,0.164736002684,0.165832430124,0,0.0,0.0,0.0,0,0.0,0.0,0.0,7,0.28240531683,0.336741298437,0.111464567482
2022/02/26/23:59:31.474620,5747,1645937971,474256038,,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,4,0.125619024038,0.165113091469,0.167348012328,0,0.0,0.0,0.0,0,0.0,0.0,0.0,7,0.281465321779,0.336704581976,0.113620318472
2022/02/26/23:59:31.615836,5748,1645937971,615427970,,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,4,0.123545370996,0.165298938751,0.169216915965,0,0.0,0.0,0.0,0,0.0,0.0,0.0,7,0.27979311347,0.336327880621,0.115587361157
2022/02/26/23:59:31.760518,5749,1645937971,759836912,,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,4,0.120314158499,0.166108995676,0.17117293179,0,0.0,0.0,0.0,0,0.0,0.0,0.0,7,0.2756921947,0.337769418955,0.117916680872
2022/02/26/23:59:31.896532,5750,1645937971,896131992,,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,4,0.117120400071,0.166657984257,0.173179090023,0,0.0,0.0,0.0,0,0.0,0.0,0.0,7,0.270749658346,0.339815735817,0.119826860726
2022/02/26/23:59:32.039161,5751,1645937972,38847923,,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,4,0.114731296897,0.167270421982,0.174311846495,0,0.0,0.0,0.0,0,0.0,0.0,0.0,7,0.266492158175,0.342067241669,0.12072943151
2022/02/26/23:59:32.171596,5752,1645937972,171180009,,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,4,0.111480265856,0.168149009347,0.175680860877,0,0.0,0.0,0.0,0,0.0,0.0,0.0,7,0.259769827127,0.345978140831,0.121691323817
2022/02/26/23:59:32.302017,5753,1645937972,301292896,,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,4,0.108663216233,0.168485343456,0.177021726966,0,0.0,0.0,0.0,0,0.0,0.0,0.0,7,0.252742260695,0.349647760391,0.121684662998
2022/02/26/23:59:32.430489,5754,1645937972,430078029,,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,4,0.105960063636,0.168410047889,0.178401693702,0,0.0,0.0,0.0,0,0.0,0.0,0.0,7,0.245550751686,0.35271936655,0.121456131339
2022/02/26/23:59:32.559389,5755,1645937972,558033943,,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,4,0.103691637516,0.167639553547,0.180146500468,0,0.0,0.0,0.0,0,0.0,0.0,0.0,7,0.23895201087,0.35440993309,0.120819889009
